date,key,new_hospitalized,total_hospitalized,new_intensive_care,total_intensive_care,new_ventilator,total_ventilator
2020-05-04 00:00:00,US_KS,6,553,0,209,0,95
2021-01-26 00:00:00,CH_VS,2,148,0,13,-2,9
2020-10-13 00:00:00,CH_GR,0,3,0,1,0,0
2020-11-05 00:00:00,US_UT,75,5830,19,1202,9,465
2020-07-10 00:00:00,US_AR,38,1743,0,,-24,260
2021-01-27 00:00:00,CH_BL,-1,24,0,6,0,5
2020-07-16 00:00:00,US_UT,43,1956,8,523,0,214
2020-08-22 00:00:00,CH_NE,0,0,0,0,0,0
2020-08-04 00:00:00,US_KS,0,1782,0,505,0,184
2020-06-15 00:00:00,CH_GE,1,6,-1,0,-1,0
2020-06-01 00:00:00,CH_GE,0,2,0,0,0,0
2020-08-31 00:00:00,CH_TI,0,1,0,0,0,0
2020-03-24 00:00:00,CH_VS,14,118,1,13,3,12
2020-11-25 00:00:00,CH_SG,-3,164,4,30,0,20
2020-07-05 00:00:00,US_AL,3,2909,0,843,0,473
2020-08-19 00:00:00,CH_VS,-1,12,0,1,0,1
2020-09-01 00:00:00,CH_SG,1,5,1,3,0,2
2020-06-11 00:00:00,US_AL,36,2165,4,650,2,380
2020-05-21 00:00:00,CH_BE,0,24,0,3,0,3
2021-01-16 00:00:00,CH_VS,-7,129,0,12,2,10
2021-01-25 00:00:00,CH_VS,10,146,2,13,3,11
2020-10-14 00:00:00,CH_LU,2,13,0,0,0,0
2020-12-12 00:00:00,CH_VS,-10,102,2,22,2,15
2021-01-07 00:00:00,CH_LU,-4,110,0,,2,17
2020-10-09 00:00:00,CH_ZH,12,36,-1,5,0,4
2020-08-07 00:00:00,CH_VS,0,8,0,1,0,1
2020-07-13 00:00:00,US_AL,0,6745,8,919,2,505
2020-12-29 00:00:00,CH_BL,3,78,0,8,3,7
2020-07-05 00:00:00,CH_BL,0,0,0,0,0,0
2020-03-21 00:00:00,CH_ZH,0,83,0,0,8,23
2020-08-25 00:00:00,CH_NE,1,1,1,1,0,0
2020-06-23 00:00:00,CH_NE,0,2,0,0,0,0
2020-08-21 00:00:00,CH_GR,0,1,0,0,0,0
2020-07-31 00:00:00,CH_GR,0,1,0,0,0,0
2020-06-10 00:00:00,US_AL,42,2129,15,646,3,378
2020-08-17 00:00:00,US_AL,351,12958,3,1319,0,720
